,Message
17,"* KSRTC m-Ticket *  from: KODAIKANAL to: AGUMBE PsngrName: Peter TripCode: 232KODAGU PNR No.: J39324204 JnyDate: 2013-03-17 DepTime: 2:32  SeatNo.: 1, 3, 41, 46, 47, 35, 28  Class: Non-AC chair  BoardingPt: KODAIKANAL Bus Stand Road Txn Password: 3546 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
18,"Dear Guest, Thanks for choosing Paris Baguette. Order ID 2578. Delivery by 2013-01-27 2:27. Enjoy 7% discount on your next purchase. Code SDCB6B. T&C."
19,"Hi Customer, Booking ID: WT75ZL9. Seats: GOLD-B5,B6,B7, 3 seat(s) for Ice Age: Collision Course on 2012-01-19 18:29 at INOX: Garuda Mall, Magrath Road. Please carry your CC/DC card which was used for booking tickets."
20,"* KSRTC m-Ticket *  from: Thiruvananthapuram to: Puducherry PsngrName: Dominick TripCode: 627ThiPud PNR No.: J15255142 JnyDate: 2015-07-09 DepTime: 6:27  SeatNo.: 8, 51, 3, 13, 37  Class: Non-AC chair  BoardingPt: Thiruvananthapuram Residency Road Txn Password: 8522 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
21,"PNR:7584552174,TRAIN:61421,DOJ:2010-10-30,SL,ANAS-BGM,Dep:4:20, Malachi,S2 74 , Fare:3498,SC:10.0+PG+INS"
22,Bill dated 2010-01-27 for Rs 273 has been generated for your Jio fixedline/broadband relationship no. 73242236. The same will reach you by 2010-01-30. Due date: 2010-02-11.
23,* KSRTC m-Ticket *  from: Puducherry to: OOTY PsngrName: Joshua TripCode: 1112PudOOT PNR No.: J72990861 JnyDate: 2013-09-15 DepTime: 11:12  SeatNo.: 9  Class: Non-AC chair  BoardingPt: Puducherry Bus Stand Road Txn Password: 4355 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
24,"* KSRTC m-Ticket *  from: TANJAVOOR to: Ernakulam PsngrName: Tristan TripCode: 1534TANErn PNR No.: J42670235 JnyDate: 2013-05-31 DepTime: 15:34  SeatNo.: 8, 52, 34, 36, 4  Class: Non-AC chair  BoardingPt: TANJAVOOR Rly Station Txn Password: 5638 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
25,"* KSRTC m-Ticket *  from: Puducherry to: MERCARA MADIKERI PsngrName: Devon TripCode: 317PudMER PNR No.: J23389892 JnyDate: 2010-09-22 DepTime: 3:17  SeatNo.: 1, 5, 41, 13, 50, 54, 9, 26, 30  Class: Non-AC Sleeper  BoardingPt: Puducherry Rly Station Txn Password: 6445 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
26,"Hi Customer, Booking ID: WA23HFG. Seats: STANDARD-B9,B10,B11,B12,B13,B14, 6 seat(s) for X-Men: Apocalypse on 2011-02-06 1:41 at INOX: Garuda Mall, Magrath Road. Please carry your CC/DC card which was used for booking tickets."
27,"[The Keg] Hi Bryce, your reservation is confirmed for 29 people on 2012-05-05 at 4:47. We can hold your table for a maximum of 43 mins."
28,"Dear Guest, Thanks for choosing Street food stall. Order ID 3217. Delivery by 2014-04-02 9:47. Enjoy 4% discount on your next purchase. Code X9P9FK. T&C."
29,Bill dated 2009-10-20 for Rs 1080 has been generated for your Bsnl fixedline/broadband relationship no. 52551363. The same will reach you by 2009-10-23. Due date: 2009-11-04.
30,"Repair ref.no for your car is JC33438784 opened on 2010-03-05 15:27hrs,ETD of your car is 2010-03-06 12:37hrs and est.repair amt is Rs.2798 Rgds, Maha Veer Auto Agency"
31,"Dear Guest, Thanks for choosing Abu Nawas. Order ID 6387. Delivery by 2012-06-14 8:38. Enjoy 26% discount on your next purchase. Code CHW2NX. T&C."
32,Bill dated 2009-11-07 for Rs 496 has been generated for your Bsnl fixedline/broadband relationship no. 68838354. The same will reach you by 2009-11-10. Due date: 2009-11-22.
33,"Hi Customer, Booking ID: WIB91HY. Seats: SILVER-E4,E5,E6,E7,E8,E9,E10,E11, 8 seat(s) for The Legend of Tarzan on 2012-08-29 13:18 at INOX: Garuda Swagath Mall, Jayanagar. Please carry your CC/DC card which was used for booking tickets."
34,Bill dated 2013-10-07 for Rs 484 has been generated for your Aircel fixedline/broadband relationship no. 42645337. The same will reach you by 2013-10-10. Due date: 2013-10-22.
35,"Hi Customer, Booking ID: W9DXDIZ. Seats: PLATINUM-L15,L16,L17,L18,L19, 5 seat(s) for Batman v Superman: Dawn of Justice on 2014-09-04 5:28 at Cinepolis: Orion East Mall, Banaswadi. Please carry your CC/DC card which was used for booking tickets."
36,"Hi Customer, Booking ID: WKJ8GZL. Seats: GOLD-H6,H7,H8, 3 seat(s) for The Jungle Book on 2010-09-07 10:58 at INOX: Garuda Mall, Magrath Road. Please carry your CC/DC card which was used for booking tickets."
37,"PNR:6631565584,TRAIN:14688,DOJ:2010-04-21,AC3,ABH-BQU,Dep:7:47, Julio,B3 63 , Fare:7201,SC:10.0+PG+INS"
38,"* KSRTC m-Ticket *  from: Kozhikode to: KOLAR GOLD FIELD PsngrName: Mario TripCode: 810KozKOL PNR No.: J53781645 JnyDate: 2011-03-20 DepTime: 8:10  SeatNo.: 36, 39, 9, 45, 16, 18, 56, 27  Class: AC chair  BoardingPt: Kozhikode Rly Station Txn Password: 1174 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
39,Bimal Auto Agency : Service of your car KA37I6752 is due in 42 days on 2012-07-12. Please contact us at 9664362375 to book a service.
40,"* KSRTC m-Ticket *  from: KASARGOD to: HUNDIMALA PsngrName: Alan TripCode: 2226KASHUN PNR No.: J95501485 JnyDate: 2010-12-03 DepTime: 22:26  SeatNo.: 26, 5, 6  Class: Non-AC Sleeper  BoardingPt: KASARGOD Residency Road Txn Password: 3476 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
41,"Hi Customer, Booking ID: W1VMUGH. Seats: SILVER-A8, 1 seat(s) for Captain America: Civil War on 2013-09-19 9:41 at PVR: Orion, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
42,"PNR:6156218263,TRAIN:56623,DOJ:2014-06-10,AC3,AIT-BHTK,Dep:18:24, Calvin,B7 5 , Fare:5890,SC:10.0+PG+INS"
43,"PNR:6511287842,TRAIN:85163,DOJ:2011-04-06,FC,BNDA-BIK,Dep:2:35, Brody,F7 4 , Fare:2258,SC:10.0+PG+INS"
44,Bill dated 2010-12-14 for Rs 154 has been generated for your Bsnl fixedline/broadband relationship no. 21426361. The same will reach you by 2010-12-17. Due date: 2010-12-29.
45,"* KSRTC m-Ticket *  from: SRIKALAHASTI to: Pune PsngrName: Mario TripCode: 1051SRIPun PNR No.: J56171464 JnyDate: 2013-03-19 DepTime: 10:51  SeatNo.: 1, 44  Class: Non-AC Sleeper  BoardingPt: SRIKALAHASTI Rly Station Txn Password: 1572 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
46,"Welcome to picnic spot R.No. 560, 139, 396 Ch.In 2014-09-19 7:44 Ch.out 2014-10-09 12:00."
47,Appointment with Dr Trevor in Kozhikode on 2012-11-29 at 15:54 is confirmed. For queries call 1800 5754 2356. Your appt. might get delayed in case the doctor is attending an emergency.
48,"* KSRTC m-Ticket *  from: THRISSUR to: Coimbatore PsngrName: Pedro TripCode: 255THRCoi PNR No.: J89970586 JnyDate: 2010-03-11 DepTime: 2:55  SeatNo.: 32, 37, 42, 49, 18, 21, 57, 29  Class: Non-AC chair  BoardingPt: THRISSUR MG Road Txn Password: 8238 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
49,"Hi Customer, Booking ID: WLY020N. Seats: SILVER-F11,F12,F13,F14,F15,F16,F17,F18, 8 seat(s) for Ghostbusters on 2011-11-04 16:28 at Carnival: Rockline Mall. Please carry your CC/DC card which was used for booking tickets."
50,"[Moo Moo Restaurant] Hi Benjamin, your reservation is confirmed for 26 people on 2014-08-24 at 15:56. We can hold your table for a maximum of 21 mins."
51,True Value : Service of your car KA14L2725 is due in 45 days on 2010-04-23. Please contact us at 9227837158 to book a service.
52,Bimal Auto Agency : Service of your car KA56M5313 is due in 77 days on 2010-10-14. Please contact us at 9376133558 to book a service.
53,"Repair ref.no for your car is JC63828242 opened on 2010-11-17 18:25hrs,ETD of your car is 2010-11-18 18:17hrs and est.repair amt is Rs.2004 Rgds, Hyundai Auto Agency"
54,"Hi Customer, Booking ID: W0IZ4AW. Seats: SILVER-I7,I8,I9,I10, 4 seat(s) for The Magnificent Seven on 2014-05-12 17:17 at Innovative Multiplex: Marathahalli. Please carry your CC/DC card which was used for booking tickets."
55,"PNR:8258222841,TRAIN:1841,DOJ:2012-12-14,AC3,BZY-BEB,Dep:20:16, Jonathan,B9 80 , Fare:7044,SC:10.0+PG+INS"
56,"Welcome to Brussels South Charleroi Airport R.No. 466, 263 Ch.In 2012-04-25 15:23 Ch.out 2012-05-07 12:00."
57,"Repair ref.no for your car is JC26331372 opened on 2015-02-15 17:49hrs,ETD of your car is 2015-02-16 20:13hrs and est.repair amt is Rs.636 Rgds, Maruti Auto Agency"
58,"PNR:4277765756,TRAIN:87353,DOJ:2013-05-24,AC3,DKGS-BNWC,Dep:1:50, Jaxon,B3 65 , Fare:7428,SC:10.0+PG+INS"
59,The PNR for your Air India Flt 6N475 for BHJ-LDA on 2009-12-12 at 3:12 hrs  is NX5B5L. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
60,"[Shake Shack] Hi Tyler, your reservation is confirmed for 14 people on 2012-07-16 at 11:57. We can hold your table for a maximum of 32 mins."
61,The PNR for your JET Airways Flt 6M758 for RGH-KLH on 2011-12-31 at 13:25 hrs  is KPN0R2. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
62,"Hi Customer, Booking ID: WG9POVQ. Seats: GOLD-C13,C14,C15,C16, 4 seat(s) for Moana on 2010-07-28 22:25 at PVR: Forum Gold, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
63,Bill dated 2011-02-22 for Rs 226 has been generated for your Docomo fixedline/broadband relationship no. 74443544. The same will reach you by 2011-02-25. Due date: 2011-03-09.
64,Bill dated 2010-11-01 for Rs 640 has been generated for your Bsnl fixedline/broadband relationship no. 18162231. The same will reach you by 2010-11-04. Due date: 2010-11-16.
65,"Repair ref.no for your car is JC85383147 opened on 2015-07-25 14:33hrs,ETD of your car is 2015-07-26 7:47hrs and est.repair amt is Rs.211 Rgds, Hyundai Auto Agency"
66,"Dear Guest, Thanks for choosing Top of the World Revolving Restaurant. Order ID 1766. Delivery by 2012-11-24 4:13. Enjoy 9% discount on your next purchase. Code Y9FX31. T&C."
67,"PNR:5326364644,TRAIN:33788,DOJ:2011-10-05,AC3,AXK-BTSD,Dep:19:27, Drake,B7 3 , Fare:7127,SC:10.0+PG+INS"
68,"Thank you for choosing Uber for 2011-03-14 at 4:14. Cab:KA57W1823 , Chauffer: Nathan, Cell: 9186351188 will reach you. T&C apply, visit www.Uber.com"
69,"Hi Customer, Booking ID: W6ZH4LD. Seats: STANDARD-A1,A2,A3,A4,A5,A6,A7,A8, 8 seat(s) for Split on 2011-05-14 4:30 at PVR: VR Gold, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
70,"Dear Guest, Thanks for choosing Hillbilly 's. Order ID 8168. Delivery by 2009-09-26 20:52. Enjoy 4% discount on your next purchase. Code HQ27BI. T&C."
71,"DEAR Jeremy, THANK YOU FOR YOUR BOOKING (ORDER ID: 15571), YOUR ORDER HAS BEEN ASSIGNED TO Jalen(9864638515) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-11-24 at 20:43. FOR ASSISTANCE WHATSAPP US ON 8568577736."
72,The PNR for your SPICE JET Flt 7R165 for TEZ-PNY on 2014-08-14 at 23:47 hrs  is JG88A8. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
73,"Hi Customer, Booking ID: WQ7IJ7O. Seats: GOLD-F13,F14,F15,F16,F17,F18,F19, 7 seat(s) for Sausage Party on 2014-12-18 5:56 at INOX: Forum Neighbourhood Mall, Whitefield. Please carry your CC/DC card which was used for booking tickets."
74,"[Nando 's] Hi Jake, your reservation is confirmed for 17 people on 2015-07-10 at 15:25. We can hold your table for a maximum of 19 mins."
75,"Dear Guest, Thanks for choosing K-barbeque. Order ID 7636. Delivery by 2010-01-18 11:44. Enjoy 28% discount on your next purchase. Code C3JF4M. T&C."
76,"PNR:7164185683,TRAIN:8531,DOJ:2011-05-06,AC3,AGD-BSP,Dep:1:25, Blake,B7 58 , Fare:2894,SC:10.0+PG+INS"
77,"[Derby Dinner Playhouse] Hi Nolan, your reservation is confirmed for 15 people on 2014-07-18 at 1:38. We can hold your table for a maximum of 21 mins."
78,"Hi Customer, Booking ID: W08U4VV. Seats: STANDARD-L2,L3,L4,L5,L6,L7,L8, 7 seat(s) for Ride Along 2 on 2012-11-21 2:10 at Fun Cinemas: Sigma Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
79,Bill dated 2015-02-16 for Rs 673 has been generated for your Bsnl fixedline/broadband relationship no. 14717716. The same will reach you by 2015-02-19. Due date: 2015-03-03.
80,"Repair ref.no for your car is JC12678461 opened on 2012-09-28 15:36hrs,ETD of your car is 2012-09-29 3:22hrs and est.repair amt is Rs.1548 Rgds, Hyundai Auto Agency"
81,* KSRTC m-Ticket *  from: Bengaluru to: TANJAVOOR PsngrName: Bryson TripCode: 013BenTAN PNR No.: J48798227 JnyDate: 2010-12-24 DepTime: 0:13  SeatNo.: 20  Class: AC chair  BoardingPt: Bengaluru Rly Station Txn Password: 8537 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
82,"Repair ref.no for your car is JC88722632 opened on 2010-10-10 16:13hrs,ETD of your car is 2010-10-11 10:39hrs and est.repair amt is Rs.923 Rgds, Hyundai Auto Agency"
83,The PNR for your INDIGO Flt 7I758 for ATQ-PUI on 2010-07-08 at 7:18 hrs  is IEMO0R. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
84,"Repair ref.no for your car is JC58177451 opened on 2013-10-27 7:22hrs,ETD of your car is 2013-10-28 12:16hrs and est.repair amt is Rs.1021 Rgds, True Value"
85,"Dear Guest, Thanks for choosing Star Tower Restaurant. Order ID 4726. Delivery by 2014-03-12 13:40. Enjoy 20% discount on your next purchase. Code TFLVXC. T&C."
86,"[Indian Coffee House] Hi Andy, your reservation is confirmed for 7 people on 2013-05-29 at 3:27. We can hold your table for a maximum of 14 mins."
87,"* KSRTC m-Ticket *  from: Tirupathi to: SRIHARIKOTA PsngrName: Robert TripCode: 1135TirSRI PNR No.: J97391066 JnyDate: 2014-01-28 DepTime: 11:35  SeatNo.: 11, 50, 19  Class: AC Sleeper  BoardingPt: Tirupathi Residency Road Txn Password: 5368 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
88,Bill dated 2013-08-12 for Rs 657 has been generated for your Reliance fixedline/broadband relationship no. 35516314. The same will reach you by 2013-08-15. Due date: 2013-08-27.
89,"Hi Customer, Booking ID: W9RRQ5C. Seats: STANDARD-C8,C9, 2 seat(s) for Deadpool on 2013-01-20 3:42 at Fun Cinemas: Sigma Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
90,"[Mikel Coffee Company] Hi David, your reservation is confirmed for 29 people on 2012-01-14 at 19:20. We can hold your table for a maximum of 17 mins."
91,"Thank you for choosing taxiforsure for 2014-04-20 at 4:58. Cab:KA76G4681 , Chauffer: Avery, Cell: 9485186174 will reach you. T&C apply, visit www.taxiforsure.com"
92,"PNR:7352458185,TRAIN:2651,DOJ:2012-10-21,AC3,AKN-BVNR,Dep:1:57, Dawson,B7 10 , Fare:5491,SC:10.0+PG+INS"
93,True Value : Service of your car KA52J7461 is due in 76 days on 2013-11-25. Please contact us at 9788861672 to book a service.
94,"* KSRTC m-Ticket *  from: SECUNDERABAD to: CHIKKAMAGALURU PsngrName: Martin TripCode: 1618SECCHI PNR No.: J26209445 JnyDate: 2010-06-06 DepTime: 16:18  SeatNo.: 5, 14, 18, 23, 24, 25, 58, 59  Class: AC chair  BoardingPt: SECUNDERABAD Bus Stand Road Txn Password: 1813 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
95,"[94th Aero Squadron] Hi Wesley, your reservation is confirmed for 4 people on 2015-01-14 at 7:27. We can hold your table for a maximum of 15 mins."
96,"* KSRTC m-Ticket *  from: SHIVAMOGGA to: PONDICHERRY PsngrName: Derek TripCode: 923SHIPON PNR No.: J71531009 JnyDate: 2014-09-06 DepTime: 9:23  SeatNo.: 4, 48, 52, 55, 56, 59  Class: Non-AC chair  BoardingPt: SHIVAMOGGA Rly Station Txn Password: 7454 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
97,"PNR:1184553587,TRAIN:7256,DOJ:2010-04-12,SL,AF-BSL,Dep:20:49, Logan,S7 61 , Fare:1030,SC:10.0+PG+INS"
98,"[Vocelli Pizza] Hi Devon, your reservation is confirmed for 21 people on 2011-09-11 at 18:54. We can hold your table for a maximum of 3 mins."
99,True Value : Service of your car KA32W3342 is due in 78 days on 2014-05-25. Please contact us at 9831325735 to book a service.
100,The PNR for your Air India Flt 4Q421 for BOM-STV on 2015-08-17 at 14:55 hrs  is JO64IL. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
101,Maruti Auto Agency : Service of your car KA68Q6785 is due in 17 days on 2015-02-18. Please contact us at 9175722744 to book a service.
102,The PNR for your Air India Flt 1O518 for NDC-BDQ on 2010-03-29 at 22:52 hrs  is IG5ELA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
103,The PNR for your Air India Flt 6Y432 for AJL-GWL on 2009-11-27 at 16:18 hrs  is U1B1S9. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
104,"[Es Teler 77] Hi Henry, your reservation is confirmed for 8 people on 2014-05-13 at 18:23. We can hold your table for a maximum of 39 mins."
105,"Hi Customer, Booking ID: W4RSCCF. Seats: SILVER-J12,J13, 2 seat(s) for The Accountant on 2012-06-05 18:28 at PVR: Orion, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
106,"[EasyInternetcaf] Hi Martin, your reservation is confirmed for 25 people on 2013-12-24 at 1:50. We can hold your table for a maximum of 18 mins."
107,"Thank you for choosing AirportTaxi for 2014-01-03 at 10:45. Cab:KA73C1784 , Chauffer: Troy, Cell: 9713222777 will reach you. T&C apply, visit www.AirportTaxi.com"
108,"[The Barn] Hi Damien, your reservation is confirmed for 6 people on 2013-11-06 at 16:35. We can hold your table for a maximum of 31 mins."
109,Appointment with Dr Jalen in HUNDIMALA on 2010-12-09 at 0:49 is confirmed. For queries call 1800 7375 8243. Your appt. might get delayed in case the doctor is attending an emergency.
110,Maha Veer Auto Agency : Service of your car KA16M5226 is due in 27 days on 2015-06-12. Please contact us at 9267337171 to book a service.
111,"Welcome to Laughing Falls R.No. 504, 106, 533, 151 Ch.In 2014-01-29 6:46 Ch.out 2014-02-03 12:00."
112,"Welcome to admin block R.No. 258, 138, 591 Ch.In 2012-04-28 3:18 Ch.out 2012-05-25 12:00."
113,"DEAR Brady, THANK YOU FOR YOUR BOOKING (ORDER ID: 75241), YOUR ORDER HAS BEEN ASSIGNED TO Harrison(9461176447) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2013-07-08 at 4:32. FOR ASSISTANCE WHATSAPP US ON 8723354325."
114,"Thank you for choosing Uber for 2012-12-04 at 22:38. Cab:KA18Z5332 , Chauffer: Nathaniel, Cell: 9638521176 will reach you. T&C apply, visit www.Uber.com"
115,"Repair ref.no for your car is JC68163348 opened on 2009-12-31 10:44hrs,ETD of your car is 2010-01-01 11:32hrs and est.repair amt is Rs.1319 Rgds, Hyundai Auto Agency"
116,Bill dated 2014-04-23 for Rs 1022 has been generated for your Airtel fixedline/broadband relationship no. 31676612. The same will reach you by 2014-04-26. Due date: 2014-05-08.
117,Bill dated 2010-10-27 for Rs 938 has been generated for your Bsnl fixedline/broadband relationship no. 22568512. The same will reach you by 2010-10-30. Due date: 2010-11-11.
118,The PNR for your JET Airways Flt 3V848 for JDH-LKO on 2015-06-25 at 12:43 hrs  is OHCFWE. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
119,"Hi Customer, Booking ID: WONH206. Seats: STANDARD-J9,J10, 2 seat(s) for Suicide Squad on 2014-11-08 5:15 at INOX: Brookefield Mall. Please carry your CC/DC card which was used for booking tickets."
120,"Repair ref.no for your car is JC58337615 opened on 2011-09-20 8:51hrs,ETD of your car is 2011-09-21 6:44hrs and est.repair amt is Rs.834 Rgds, Lakshmi Auto Agency"
121,"PNR:5158467538,TRAIN:7782,DOJ:2014-04-14,AC3,ADVI-BZG,Dep:16:45, Jeremy,B6 88 , Fare:9340,SC:10.0+PG+INS"
122,Appointment with Dr Calvin in MERCARA MADIKERI on 2009-12-07 at 6:23 is confirmed. For queries call 1800 7628 8534. Your appt. might get delayed in case the doctor is attending an emergency.
123,"PNR:8248688756,TRAIN:2213,DOJ:2010-10-27,SL,ARQ-BVL,Dep:5:19, Dustin,S2 68 , Fare:1448,SC:10.0+PG+INS"
124,"Welcome to Thai massage salon R.No. 242, 563, 389, 255 Ch.In 2011-02-21 23:26 Ch.out 2011-03-22 12:00."
125,"Thank you for choosing Uber for 2014-04-05 at 14:17. Cab:KA44K2473 , Chauffer: Julian, Cell: 9511458725 will reach you. T&C apply, visit www.Uber.com"
126,"Thank you for choosing Uber for 2010-06-01 at 8:39. Cab:KA48G8325 , Chauffer: Devon, Cell: 9631843366 will reach you. T&C apply, visit www.Uber.com"
127,"Welcome to POCA VALLEY BSHRS R.No. 595, 467, 395, 215 Ch.In 2014-06-12 11:39 Ch.out 2014-06-15 12:00."
128,"Thank you for choosing KSRTC for 2010-10-30 at 5:30. Cab:KA22D7286 , Chauffer: Edward, Cell: 9454188877 will reach you. T&C apply, visit www.KSRTC.com"
129,"* KSRTC m-Ticket *  from: KOLHAPUR to: PONDICHERRY PsngrName: Sebastian TripCode: 813KOLPON PNR No.: J29415299 JnyDate: 2013-09-20 DepTime: 8:13  SeatNo.: 41, 42, 45  Class: Non-AC Sleeper  BoardingPt: KOLHAPUR Rly Station Txn Password: 2228 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
130,Welcome to Robichaux Park R.No. 406 Ch.In 2010-02-28 22:47 Ch.out 2010-03-13 12:00.
131,"Hi Customer, Booking ID: W3NQR9R. Seats: SILVER-B6,B7,B8, 3 seat(s) for Central Intelligence on 2011-11-26 1:56 at INOX Lido: Off MG Road, Ulsoor. Please carry your CC/DC card which was used for booking tickets."
132,The PNR for your INDIGO Flt 8N686 for COH-KLH on 2011-07-06 at 0:26 hrs  is XMWNWA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
133,"[Italian restaurant] Hi Dustin, your reservation is confirmed for 22 people on 2011-09-26 at 6:30. We can hold your table for a maximum of 20 mins."
134,"DEAR Gavin, THANK YOU FOR YOUR BOOKING (ORDER ID: 24856), YOUR ORDER HAS BEEN ASSIGNED TO Pedro(9342741257) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-07-26 at 22:17. FOR ASSISTANCE WHATSAPP US ON 8446236128."
135,"PNR:7845723127,TRAIN:4373,DOJ:2015-04-02,AC3,ASL-BBU,Dep:14:38, Kyle,B5 23 , Fare:7118,SC:10.0+PG+INS"
136,"[Patsy's Italian Restaurant] Hi Ashton, your reservation is confirmed for 26 people on 2011-03-18 at 19:48. We can hold your table for a maximum of 5 mins."
137,"* KSRTC m-Ticket *  from: Mysuru to: OOTY PsngrName: Colby TripCode: 1544MysOOT PNR No.: J82517676 JnyDate: 2013-10-05 DepTime: 15:44  SeatNo.: 4, 11, 12, 54, 36, 26, 27, 29  Class: Non-AC chair  BoardingPt: Mysuru MG Road Txn Password: 6687 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
138,"Thank you for choosing taxiforsure for 2011-11-09 at 5:37. Cab:KA27L6254 , Chauffer: Brett, Cell: 9446547141 will reach you. T&C apply, visit www.taxiforsure.com"
139,"PNR:2414113442,TRAIN:6227,DOJ:2012-06-13,SL,AGI-BTSR,Dep:9:21, Cody,S9 55 , Fare:2554,SC:10.0+PG+INS"
140,"DEAR Samuel, THANK YOU FOR YOUR BOOKING (ORDER ID: 72328), YOUR ORDER HAS BEEN ASSIGNED TO Zane(9716614174) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-08-24 at 20:25. FOR ASSISTANCE WHATSAPP US ON 8588867416."
